fase;date;team_1;score_1;score_2;team_2;
1ª Fase Grupo A;17/10/2021;CD José Regio;72;35;Juvemaia ACDC;
1ª Fase Grupo A;17/10/2021;Guifões SC;68;54;FC Gaia;
1ª Fase Grupo A;10/10/2021;CD José Regio;13;100;FC Gaia;
1ª Fase Grupo A;10/10/2021;Juvemaia ACDC;11;97;Guifões SC;
1ª Fase Grupo A;03/10/2021;FC Gaia;140;9;Juvemaia ACDC;
1ª Fase Grupo A;02/10/2021;Guifões SC;85;28;CD José Regio;
;;;;;;
1ª Fase Grupo B;17/10/2021;FC Porto;31;71;Club 5Basket;
1ª Fase Grupo B;16/10/2021;FidesGondobasket;24;73;CLIP Teams;
1ª Fase Grupo B;10/10/2021;FidesGondobasket;16;95;Club 5Basket;
1ª Fase Grupo B;10/10/2021;CLIP Teams;31;87;FC Porto;
1ª Fase Grupo B;09/10/2021;FC Porto;106;5;FidesGondobasket;
1ª Fase Grupo B;03/10/2021;Club 5Basket;87;17;CLIP Teams;
;;;;;;
1ª Fase Grupo C;17/10/2021;Maia Basket;95;20;GD Bolacesto;
1ª Fase Grupo C;17/10/2021;Académico FC A;61;47;CAA Salesianos;
1ª Fase Grupo C;10/10/2021;GD Bolacesto;32;54;Académico FC A;
1ª Fase Grupo C;10/10/2021;Maia Basket;79;39;CAA Salesianos;
1ª Fase Grupo C;03/10/2021;Académico FC A;36;80;Maia Basket;
1ª Fase Grupo C;02/10/2021;CAA Salesianos;20;0;GD Bolacesto;
;;;;;;
1ª Fase Grupo D;17/10/2021;CD Póvoa A;24;40;AC Alfenense A;
1ª Fase Grupo D;16/10/2021;UAA Aroso;39;73;GDB Leça;
1ª Fase Grupo D;13/10/2021;GDB Leça;58;38;AC Alfenense A;
1ª Fase Grupo D;10/10/2021;AC Alfenense A;66;26;UAA Aroso;
1ª Fase Grupo D;09/10/2021;CD Póvoa A;17;53;GDB Leça;
1ª Fase Grupo D;02/10/2021;UAA Aroso;35;46;CD Póvoa A;
;;;;;;
1ª Fase Grupo E1;15/10/2021;Maia Basket B;68;43;Guifões SC 2;
1ª Fase Grupo E1;10/10/2021;NCR Valomgo;58;16;Maia Basket B;
1ª Fase Grupo E1;02/10/2021;Guifões SC 2;34;67;NCR Valomgo;
;;;;;;
1ª Fase Grupo E2;17/10/2021;FC Gaia B;4;120;Powertoghether;
1ª Fase Grupo E2;10/10/2021;Club 5Basket B;30;50;FC Gaia B;
1ª Fase Grupo E2;03/10/2021;Powertoghether;121;9;Club 5Basket B;
;;;;;;
1ª Fase Grupo E3;16/10/2021;Académico FC B;33;23;Campo e Sobrado;
1ª Fase Grupo E3;09/10/2021;CBP 2012 A;38;21;Académico FC B;
1ª Fase Grupo E3;03/10/2021;Campo e Sobrado;12;48;CBP 2012 A;
;;;;;;
2ª Fase Grupo F;01/12/2021;Club 5Basket;43;50;Maia Basket;
2ª Fase Grupo F;01/12/2021;GDB Leça;36;54;Guifões SC;
2ª Fase Grupo F;28/11/2021;Maia Basket;86;23;GDB Leça;
2ª Fase Grupo F;28/11/2021;Club 5Basket;60;56;Guifões SC;
2ª Fase Grupo F;21/11/2021;Guifões SC;46;42;Maia Basket;
2ª Fase Grupo F;21/11/2021;GDB Leça;16;75;Club 5Basket;
2ª Fase Grupo F;14/11/2021;Guifões SC;73;20;GDB Leça;
2ª Fase Grupo F;14/11/2021;Maia Basket;58;45;Club 5Basket;
2ª Fase Grupo F;07/11/2021;Guifões SC;47;55;Club 5Basket;
2ª Fase Grupo F;07/11/2021;GDB Leça;17;99;Maia Basket;
2ª Fase Grupo F;31/10/2021;Club 5Basket;90;18;GDB Leça;
2ª Fase Grupo F;31/10/2021;Maia Basket;67;61;Guifões SC;
;;;;;;
2ª Fase Grupo G;01/12/2021;AC Alfenense A;29;62;Académico FC A;
2ª Fase Grupo G;01/12/2021;FC Porto;56;64;FC Gaia;
2ª Fase Grupo G;28/11/2021;FC Gaia;67;11;AC Alfenense A;
2ª Fase Grupo G;28/11/2021;FC Porto;42;35;Académico FC A;
2ª Fase Grupo G;21/11/2021;AC Alfenense A;39;85;FC Porto;
2ª Fase Grupo G;21/11/2021;Académico FC A;34;52;FC Gaia;
2ª Fase Grupo G;14/11/2021;FC Gaia;45;44;FC Porto;
2ª Fase Grupo G;14/11/2021;Académico FC A;51;42;AC Alfenense A;
2ª Fase Grupo G;07/11/2021;AC Alfenense A;38;59;FC Gaia;
2ª Fase Grupo G;06/11/2021;Académico FC A;39;48;FC Porto;
2ª Fase Grupo G;31/10/2021;FC Porto;69;21;AC Alfenense A;
2ª Fase Grupo G;30/10/2021;FC Gaia;62;31;AC Alfenense A;
;;;;;;
2ª Fase Grupo H;01/12/2021;CAA Salesianos;45;79;CD José Regio;
2ª Fase Grupo H;01/12/2021;CD Póvoa A;32;40;CLIP Teams;
2ª Fase Grupo H;28/11/2021;CLIP Teams;33;66;CAA Salesianos;
2ª Fase Grupo H;28/11/2021;CD Póvoa A;42;53;CD José Regio;
2ª Fase Grupo H;21/11/2021;CD José Regio;44;43;CLIP Teams;
2ª Fase Grupo H;21/11/2021;CAA Salesianos;77;23;CD Póvoa A;
2ª Fase Grupo H;14/11/2021;CAA Salesianos;75;33;CLIP Teams;
2ª Fase Grupo H;13/11/2021;CLIP Teams;38;42;CD Póvoa A;
2ª Fase Grupo H;13/11/2021;CD José Regio;42;51;CAA Salesianos;
2ª Fase Grupo H;07/11/2021;CD José Regio;44;38;CD Póvoa A;
2ª Fase Grupo H;31/10/2021;CD Póvoa A;29;86;CAA Salesianos;
2ª Fase Grupo H;24/10/2021;CD José Regio;36;51;CLIP Teams;
;;;;;;
2ª Fase Grupo I;01/12/2021;GD Bolacesto;70;46;FidesGondobasket;
2ª Fase Grupo I;01/12/2021;UAA Aroso;49;35;Juvemaia ACDC;
2ª Fase Grupo I;27/11/2021;GD Bolacesto;88;28;Juvemaia ACDC;
2ª Fase Grupo I;27/11/2021;FidesGondobasket;45;36;UAA Aroso;
2ª Fase Grupo I;21/11/2021;Juvemaia ACDC;19;57;FidesGondobasket;
2ª Fase Grupo I;21/11/2021;UAA Aroso;33;70;GD Bolacesto;
2ª Fase Grupo I;14/11/2021;Juvemaia ACDC;30;45;UAA Aroso;
2ª Fase Grupo I;13/11/2021;FidesGondobasket;38;76;GD Bolacesto;
2ª Fase Grupo I;07/11/2021;Juvemaia ACDC;24;112;GD Bolacesto;
2ª Fase Grupo I;07/11/2021;UAA Aroso;29;40;FidesGondobasket;
2ª Fase Grupo I;30/10/2021;GD Bolacesto;53;27;UAA Aroso;
2ª Fase Grupo I;30/10/2021;FidesGondobasket;61;36;Juvemaia ACDC;
;;;;;;
2ª Fase Grupo J;01/12/2021;CBP 2012 A;30;58;NCR Valomgo;
2ª Fase Grupo J;27/11/2021;NCR Valomgo;32;55;Powertoghether;
2ª Fase Grupo J;21/11/2021;Powertoghether;82;21;CBP 2012 A;
2ª Fase Grupo J;13/11/2021;NCR Valomgo;67;30;CBP 2012 A;
2ª Fase Grupo J;07/11/2021;Powertoghether;64;32;NCR Valomgo;
2ª Fase Grupo J;30/10/2021;CBP 2012 A;14;99;Powertoghether;
;;;;;;
2ª Fase Grupo K;01/12/2021;FC Gaia B;40;17;Académico FC B;
2ª Fase Grupo K;28/11/2021;Académico FC B;34;48;Maia Basket B;
2ª Fase Grupo K;21/11/2021;FC Gaia B;34;35;Maia Basket B;
2ª Fase Grupo K;14/11/2021;Académico FC B;56;16;FC Gaia B;
2ª Fase Grupo K;07/11/2021;Maia Basket B;36;41;Académico FC B;
2ª Fase Grupo K;30/10/2021;Maia Basket B;68;22;FC Gaia B;
;;;;;;
2ª Fase Grupo L;01/12/2021;Guifões SC 2;54;52;Campo e Sobrado;
2ª Fase Grupo L;28/11/2021;Campo e Sobrado;48;45;Club 5Basket B;
2ª Fase Grupo L;21/11/2021;Club 5Basket B;30;38;Guifões SC 2;
2ª Fase Grupo L;14/11/2021;Campo e Sobrado;40;52;Guifões SC 2;
2ª Fase Grupo L;06/11/2021;Club 5Basket B;32;44;Campo e Sobrado;
2ª Fase Grupo L;31/10/2021;Guifões SC 2;71;26;Club 5Basket B;
;;;;;; 
2ª Fase Grupo M;01/12/2021;CBP 2012 B;20;0;BC Gaia;
2ª Fase Grupo M;28/11/2021;BC Gaia;33;32;AC Alfenense B;
2ª Fase Grupo M;21/11/2021;AC Alfenense B;42;35;CBP 2012 B;
